date,close,support,resistance,atr14,buffer,support_hit_h1,support_d2h_h1,resist_hit_h1,resist_d2h_h1,support_hit_h3,support_d2h_h3,resist_hit_h3,resist_d2h_h3,support_hit_h5,support_d2h_h5,resist_hit_h5,resist_d2h_h5
1970-01-01 00:00:00.000002361,43011.09,38555.0,48969.48,1457.3702310152482,86.02217999999999,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002362,42582.88,38555.0,48969.48,1417.3466430855879,85.16575999999999,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002363,42708.7,38555.0,48969.48,1409.7975971509034,85.4174,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002364,43098.95,38555.0,48969.48,1368.0963402115533,86.19789999999999,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002365,44349.6,38555.0,48969.48,1385.2680301964424,88.6992,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002366,45288.65,38555.0,48969.48,1377.9774566109825,90.57730000000001,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000002367,47132.77,38555.0,48969.48,1490.8276382816264,94.26554,0,,0,,0,,1,3.0,0,,1,3.0
1970-01-01 00:00:00.000002368,47751.09,38555.0,48969.48,1482.1970926900817,95.50218,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002369,48299.99,38555.0,48200.0,1450.290157497933,96.59998,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002370,49917.27,38555.0,48592.66,1534.1844319623663,99.83453999999999,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002371,49699.59,38555.0,50334.82,1572.2898296793403,99.39918,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002372,51795.17,38555.0,50368.61,1661.3191275593872,103.59034,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002373,51880.0,38555.0,52043.71,1649.9834755908598,103.76,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002374,52124.11,38555.0,52816.62,1603.990370191513,104.24822,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000002375,51642.64,38555.0,52816.62,1599.2639151778335,103.28528,0,,0,,0,,1,3.0,0,,1,3.0
1970-01-01 00:00:00.000002376,52137.67,38555.0,52816.62,1571.7250640937027,104.27534,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002377,51774.73,38555.0,52816.62,1517.4425595155808,103.54946000000001,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002378,52258.82,38555.0,52816.62,1567.9559481216106,104.51764,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002379,51849.39,38555.0,52985.0,1580.3733803986386,103.69878,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002380,51288.42,38555.0,52985.0,1547.8467103701644,102.57684,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000002381,50744.15,39484.19,52985.0,1510.6819453437242,101.48830000000001,0,,0,,0,,1,3.0,0,,1,3.0
1970-01-01 00:00:00.000002382,51568.22,39550.0,52985.0,1482.2760921048869,103.13644000000001,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002383,51728.85,39822.52,52985.0,1424.881371240252,103.4577,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002384,54476.47,41394.34,52985.0,1609.429844723091,108.95294,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002385,57037.34,41620.81,54910.0,1718.614855814299,114.07468,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002386,62432.1,41804.88,57588.15,2117.867366113278,124.8642,0,,0,,0,,0,,0,,0,
